Characteristic groups,Characteristics,"Any domestic abuse
All ","Any domestic abuse
Women","Any domestic abuse
Men","Any partner abuse
All ","Any partner abuse
Women","Any partner abuse
Men","Any family abuse
All ","Any family abuse
Women","Any family abuse
Men","Domestic abuse (non-sexual)
All ","Domestic abuse (non-sexual)
Women","Domestic abuse (non-sexual)
Men","Domestic sexual assault
All
[note 6]","Domestic sexual assault
Women
[note 6]","Domestic sexual assault
Men
[note 6]","Domestic stalking
All ","Domestic stalking
Women","Domestic stalking
Men","Unweighted base
Number of people aged 16 and over
[note 7]","Unweighted base
Number of Women
[note 7]","Unweighted base
Number of Men
[note 7]",,,,,
Ethnic subgroup,Black - Caribbean,7.72430786230337,11.5469998145172,[c],2.53786887727388,2.90901305943244,[c],5.09023542138735,8.60082036236146,[c],7.98177959919501,11.5572315133034,[c],[c],[c],[c],[c],[c],[c],111,67,44,,,,,
Ethnic subgroup,Black - Any other Black/African/Caribbean background,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],21,9,12,,,,,
Ethnic group,Other ethnic group,5.0632093908313,11.9463481830586,[c],3.11402669367182,6.88019745644667,[c],[c],[c],[c],2.45055015945694,5.84318838252071,[c],[c],[c],[c],[c],[c],[c],133,60,73,,,,,
Ethnic subgroup,Other ethnic group - Arab,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],43,16,27,,,,,
Ethnic subgroup,Other ethnic group - Any other ethnic group,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],90,44,46,,,,,
Country of Birth,Born in the UK,4.9641967114415,6.5911364543618,3.30121363861908,3.36147750218493,4.67152507692794,2.02560779118774,1.96859724904672,2.42649260664966,1.50092737303669,4.5579898428569,5.96272240042814,3.12402785471795,0.296123639605936,0.540386993060839,0.0463882809207049,0.920384917255615,1.254213001602,0.578740755804977,9348,4928,4420,,, , ,  
Country of Birth,Not born in the UK,4.0963733654311,6.56552615153567,1.87360351156161,2.79405491089843,4.33329906422953,1.39494468487541,1.63522687944908,2.73511910544586,0.652772909554576,3.8909311890562,6.298692276729,1.74157055098744,0.354650696013011,0.643874905832087,[c],0.710574346865786,1.15405264667733,0.307328885112901,2034,1018,1016,,,,,
Marital status,Married/civil partnered,2.51161196675963,3.22086339650127,1.87464211070976,1.54220683407332,1.99089420978569,1.14066574206478,1.07757231110887,1.27491849678706,0.900323230846015,2.32231017436592,2.9515412892938,1.75703267969909,0.0799649383577758,0.151445722117014,[c],0.294959226002482,0.366359051130103,0.230410349405784,5287,2532,2755,,,,,
Marital status,Cohabiting,5.09608882675808,7.70993201182424,2.86414442676604,3.55211260942495,5.46572901272289,1.89179059311596,1.92490410527968,2.77669274521197,1.20028094391914,4.63132372586444,7.10460318661844,2.53122542670037,0.230792594540202,0.356949224736262,[c],0.820717161632933,1.08570891229359,0.596577874483033,1152,561,591,,,,,
Marital status,Single,7.57725759064816,10.5555481055743,4.635229416049,4.81316920421652,6.76228545921393,2.88770338908233,3.16510296108091,4.39048997935539,1.97130197614982,7.04608245718567,9.47498705825368,4.65999058381358,0.768478433936277,1.45334471247786,[c],1.76571603844116,2.62565654442872,0.918381440153887,2824,1481,1343,,,,,
Marital status,Separated,15.008190504026,19.368135458589,8.0189190302955,13.970340547258,19.368135458589,5.29873267458285,2.28165438417909,2.02513277739555,[c],15.1979240321163,20.0102970561453,7.67489198773528,1.14828401047762,1.85059256100641,[c],1.98027642911728,2.93442526183506,[c],265,153,112,,,,,
Marital status,Divorced/legally dissolved partnership,11.8287631476793,14.788824489923,6.35778161950306,10.2208310195515,12.6689803282095,5.75598981480097,3.66019065298725,5.06451395832981,1.08724980087766,10.8655726676831,13.8947850193725,5.31519904133578,0.43422066741488,[c],[c],2.44818880002879,2.88456481632228,1.63228425111036,924,575,349,,,,,
Marital status,Widowed,2.43977879844636,2.46966256403267,2.35701324814005,1.65021098039044,1.97577186660016,0.759822893374446,1.11016024072387,0.865730507622854,1.78410941968036,2.10333106578713,2.32375656781964,1.49144678358168,[c],[c],[c],[c],[c],[c],877,615,262,,,,,
Respondent's employment status,In employment,4.61967304646709,6.08243104703871,3.32673756381012,3.09156286675065,4.15491949034048,2.1546209983613,1.7067028249533,2.15419415354885,1.31053804391694,4.26321153897335,5.48942679330133,3.17461640820361,0.298179546950205,0.575056505876697,0.0527507163726346,0.830017824380559,1.09358600833974,0.596785284615433,6859,3446,3413,,,,,
Respondent's employment status,Unemployed,6.78080056207513,11.9930495853691,2.6656794780731,5.43252725708283,9.04668917695277,2.61538407288113,4.4515141480905,10.0565693819845,[c],6.90450688558738,12.6685229807285,2.75050230227212,[c],[c],[c],[c],[c],[c],152,71,81,,,,,
Respondent's employment status,Economically inactive,5.01772030370498,7.18003860125521,2.20911047282973,3.44356997646927,5.15909583954782,1.20576085059957,2.15836454428191,2.73495215412074,1.41662559882903,4.61228744501905,6.64022854574261,2.01340258739602,0.29999450760328,0.479441533092765,[c],1.01594331817762,1.50646288847054,0.375827400527964,4373,2433,1940,,,,,
Respondent's employment status,Student,9.8709550455829,14.4093394788961,3.87765606762541,5.6049852266617,8.62908931919648,[c],4.89578316092461,6.9856646575504,[c],8.01582795933852,12.2888992438877,[c],1.15454879790481,[c],[c],3.29677052633448,4.99741842717154,[c],230,138,92,,,,,
Respondent's employment status,Looking after family/home,8.44225855732728,9.60435700319605,2.63176383420795,5.99268205306595,6.6506659475662,2.63176383420795,2.70684749883304,3.25163784677322,[c],7.8362414516866,8.83110395368212,2.73531507002305,[c],[c],[c],1.54941532813229,1.84610296141267,[c],376,323,53,,,,,
Respondent's employment status,Long-term/temporarily sick/ill,12.9107472647623,15.3593060889095,9.09339899344363,8.24168581074843,10.7627841182086,4.23729270649997,7.00784785884136,7.13004743853546,6.82283607890074,12.6188337514075,15.1042321915782,8.80058914534393,1.07552508900917,1.7693889299997,[c],2.61823751783138,3.25338881075987,1.62573992279814,500,292,208,,,,,
Respondent's employment status,Retired,2.40131633517479,3.60815530717539,1.07481502713645,1.9112766777076,3.00117478712666,0.71906611664365,0.854895899945879,0.992201855862949,0.703700662385378,2.27241774628056,3.44249189267882,1.00023618688678,[c],[c],[c],0.270032021646744,0.396263331901239,0.130989840619909,3105,1599,1506,,,,,
Respondent's employment status,Other inactive,2.0346758267153,3.71427272923364,[c],1.54519735109374,2.91815521634442,[c],[c],[c],[c],2.16302419462816,3.83379229813872,[c],[c],[c],[c],[c],[c],[c],162,81,81,,,,,
Respondent's occupation,Managerial and professional occupations,3.60281858796412,5.19766628841168,2.23422146220472,2.43904865461948,3.41541309667996,1.60428231505054,1.47967899886369,2.20711955676202,0.857342848306272,3.3385009605075,4.6696811754067,2.19786907705455,0.137400779552149,0.278940492777726,[c],0.593797724752332,1.01568186879522,0.231888883975458,4734,2324,2410,,,,,
Respondent's occupation,Intermediate occupations,4.98771210884279,6.06098663734926,3.50709679429562,3.71338301419961,4.75477867586323,2.27984814891267,1.73942842340365,2.02249080164398,1.3501437787692,4.74426954777613,5.88289424878413,3.16138352672093,0.233239585921617,0.400611449910916,[c],1.22381090494267,1.09873621783438,1.39751194390371,2562,1512,1050,,,,,
Respondent's occupation,Routine and manual occupations,5.58567492558941,7.54445670864306,3.85109331265639,4.13512676075406,6.0722381685885,2.42849533469541,1.81027988256252,1.91019764910687,1.72154987836477,5.33784650544427,7.23212552948768,3.65877127326996,0.352643779119041,0.630362273361328,0.106571818482879,0.759451011208785,1.14536807133078,0.415818462461534,3249,1612,1637,,,,,
Respondent's occupation,Never worked and long-term unemployed,3.38745821466272,5.19027019918847,[c],1.90682856257129,2.50666094216675,[c],1.84156676631625,2.91187112057818,[c],3.52152214238777,5.29910257823351,[c],[c],[c],[c],[c],[c],[c],317,199,118,,,,,
Respondent's occupation,Full-time students,9.06114490520107,12.5744626240865,4.4239080867917,4.29648869866108,6.64388338979141,1.15633986117297,5.15306136265654,6.66426350763628,3.19194154210858,7.22688124432164,9.92089836304243,3.85490813603228,1.40107429641629,2.21086020326899,[c],2.22071857056112,3.40207893127005,[c],360,219,141,,,,,
Respondent's occupation,Not classified,4.42338618023942,7.21231642271309,[c],1.03798633894295,2.07858446136002,[c],3.27742912944131,4.91544932958909,[c],3.73620139462918,5.65988205344715,[c],[c],[c],[c],[c],[c],[c],172,86,86,,,,,
Highest qualification,Degree or diploma,4.69282541265865,6.71486452547175,2.64634122377857,3.3227169765348,4.70132874204055,1.93268937017043,1.74104994193125,2.56848450412037,0.908378532028504,4.31766650557406,6.15529086536468,2.472662289687,0.232658081630299,0.438310330868556,[c],0.971832291663337,1.48313784809412,0.456287009939359,5727,3016,2711,,,,,
Highest qualification,Apprenticeship or A/AS level,3.95811137275503,4.78403777591565,3.32062596954006,3.04077667698219,4.20351099112676,2.14458041301661,1.19875203211948,0.979158363495678,1.3684392847116,3.82450568575971,4.71542654089595,3.12995746382537,0.214548539183557,0.489608551528085,[c],0.623993165123949,0.53687024384857,0.691743031509971,1822,808,1014,,,,,
Highest qualification,O level/GCSE,6.56612294529629,8.66188493311462,4.03752790437578,3.44163471875076,4.88143149934346,1.69764530366524,3.55801470723084,4.33396475080885,2.61815554786867,6.07748511135467,7.86792289931682,3.91447072828044,0.753007002377116,1.32992043121702,[c],1.20134417839197,1.41614977427175,0.939449239756248,1901,1090,811,,,,,
Highest qualification,Other,4.5864325975678,5.37338472202952,3.9340425645893,2.29536405236935,3.54361760906284,1.22317918442896,2.21213422164941,[c],2.6818622384632,3.75221040495155,3.35577666941295,4.08521976454249,[c],[c],[c],1.06252355476941,2.31278800005695,[c],468,235,233,,,,,
Highest qualification,,3.94970815210457,5.38033740698755,2.36802547972832,3.32947934126228,4.69322173446264,1.83028521981532,1.07176918131092,1.24231576373131,0.88400954027021,3.66442968562116,5.01404537693354,2.17921712764825,0.210741024105777,[c],[c],0.272087703108401,0.414792836691596,[c],1440,783,657,,,,,
Disability [note 8],Disabled,9.2094358215534,12.7069322592856,4.65216273740539,6.44398858384176,9.30371316129028,2.71409402553674,3.82163798319029,4.88146175500657,2.44469615274908,8.54911851997034,11.7579775980256,4.40028970002247,0.958741135099915,1.53336981833658,0.214164980907738,2.03515630748303,3.02740320544752,0.740020236722107,2322,1334,988,,,,,
Disability [note 8],Not disabled,3.89291083077704,5.12056292634846,2.73252244366875,2.59482958322882,3.48177193547622,1.75747283377861,1.51192029772973,1.90791789062401,1.13824393953795,3.59645537613633,4.66770203505907,2.58454196768024,0.175133201956703,0.3297731378189,[c],0.640031752078836,0.801821106476947,0.486681165389305,9043,4605,4438,,,,,
Religion,No religion,5.32390060202212,7.60747808856798,3.40054879446206,3.52823972916452,5.45428129738481,1.90472587462919,2.00915668601666,2.37720969509473,1.69964845505554,4.9041914724215,6.74541507600479,3.35376992929354,0.415117171729407,0.854887079243626,0.0436994090578351,0.974593951783567,1.47923358928557,0.548838040339168,4856,2332,2524,,,,,
Religion,Christian,4.51880437060078,5.88990482504134,2.79184711158866,3.06185707330175,4.01889391771612,1.8494358140219,1.92351665829418,2.4914371869319,1.20937497507162,4.17015770915264,5.57990651339147,2.40365777627164,0.250343765951948,0.380346760115015,[c],0.850918956830244,1.03205824894275,0.621682007164522,5656,3225,2431,,,,,
Religion,Buddhist,5.17839745846684,[c],[c],[c],[c],[c],3.6752857679092,[c],[c],5.08557230832877,[c],[c],[c],[c],[c],[c],[c],[c],57,33,24,,,,,
Religion,Hindu,4.46142854225085,[c],6.19210462524627,3.79936986544279,[c],5.96936271901181,1.08202434802768,[c],[c],4.78077149687108,[c],6.50822171024318,[c],[c],[c],[c],[c],[c],204,90,114,,,,,
Religion,Muslim,2.16672618701083,5.19320787441566,[c],1.68139853105288,4.04712696219592,[c],0.484200576755352,1.24501799344844,[c],1.48154179834794,3.45301958273504,[c],[c],[c],[c],[c],[c],[c],428,177,251,,,,,
Religion,Other,6.79068918965245,11.3895873347467,2.9612744004726,5.3423489434918,8.27828675667369,2.91707812491441,3.57627901516374,7.32220089430648,[c],7.04383417744342,11.7240370469978,3.0914558828373,[c],[c],[c],0.752750274292696,[c],[c],165,80,85,,,,,
Sexual orientation [note 9][note 10],Heterosexual/straight,4.53617001241816,6.33624095394543,2.79576331320976,3.13149076843704,4.45528566001237,1.85548850920212,1.7661358763279,2.39295625102034,1.16083831586527,4.2527717706901,5.91957608630861,2.64105937726259,0.237436624414163,0.435064045632225,0.0460778211286207,0.834080236289014,1.17898227443597,0.499565570232339,10534,5480,5054,,,,,
Sexual orientation [note 9][note 10],Gay/Lesbian,5.97537857787862,3.42114090903065,7.63401373935318,2.9679608906807,2.06340998651702,3.5752165163973,3.25658751622881,2.05745806071698,[c],5.76853286225927,2.7431314758293,7.68858799017446,0.696428618272856,[c],[c],0.757189890131825,[c],[c],195,73,122,,,,,
Sexual orientation [note 9][note 10],Bisexual,9.28413627639643,11.2337696032418,3.12508773857452,6.04373971169253,7.27195686440982,2.15569326693461,3.94194232621354,4.90793204297405,[c],6.51064477896615,7.46856625543844,3.43230450814042,2.05335757105627,2.7158975794437,[c],2.15796483005124,2.83873826876374,[c],285,208,77,,,,,
Sexual orientation [note 9][note 10],Other,9.55782220487402,[c],[c],2.93212731117461,[c],[c],8.18591428258254,[c],[c],10.2691823000715,[c],[c],[c],[c],[c],[c],[c],[c],71,40,31,,,,,
Gender identity [note 11],Cisgender,4.74587756653009,6.58756241128939,2.89474043295336,3.26307800348251,4.62218648082531,1.89572385591203,1.84996578325857,2.47252303635305,1.22470656884576,4.38701800765174,6.01326226584644,2.75575487399388,0.304365164592371,0.557679744512515,0.0494487936026684,0.870878319131272,1.23936496456846,0.499258759982821,11226,5884,5342,,,,,
Gender identity [note 11],Transgender,9.80051400364139,[c],[c],1.78941741411495,[c],[c],8.35873284383957,[c],[c],10.1864304026409,[c],[c],[c],[c],[c],[c],[c],[c],66,22,44,,,,,
Hours out of home on an average weekday,Less than 3 hours,4.78140438581609,6.78322094690496,2.42033682900516,3.31459819764657,5.0312029374839,1.29685494446595,1.98017755710951,2.58199353451493,1.27278903993852,4.44782431961909,6.4384784442755,2.12818646635218,0.196309877018885,0.34284557565411,[c],0.848515592408212,1.19648121792236,0.434191650799696,4423,2431,1992,,,,,
Hours out of home on an average weekday,3 hours or more but less than 7 hours,4.41440996169507,5.6567388512871,2.8330269318832,3.10338154068815,4.27503885336597,1.61539298868384,1.43805512156354,1.4710239002887,1.39625553343089,3.9630183757734,4.90912205016327,2.76211026804078,0.229636672108752,0.33505976307359,[c],0.793862636651194,1.08565835478939,0.423216262730731,3269,1887,1382,,,,,
Hours out of home on an average weekday,7 hours or longer,5.07738586265915,7.25245343858072,3.54503706366925,3.27149255399386,4.3716116269831,2.49438364495583,2.19488103054836,3.42788920624437,1.32498266400487,4.74904935750778,6.61332857385728,3.42682235467472,0.471003533192366,1.05619564037676,[c],0.976621327642641,1.443752499339,0.647683140088202,3676,1622,2054,,,,,
Number of evening visits to pub/bar in last month,,4.99427055142097,7.18756960031041,2.45937762326248,3.25362722642182,4.85615055234794,1.40566842377138,2.10383159713218,2.82996535216935,1.27101909868612,4.67224064951563,6.72589236906985,2.29501176705179,0.209861664050318,0.299844071073861,0.105821669220006,0.881690996175726,1.2654300050746,0.435938174895204,6142,3431,2711,,,,,
Number of evening visits to pub/bar in last month,Less than once a week ,4.96677231871014,6.29098265345474,3.67302539378459,3.41900636996171,4.61977848354232,2.24846575375127,1.96933860990422,2.26838154057715,1.67593323474614,4.41788269524991,5.35534284773283,3.50296678236777,0.558663661395037,1.11267913689047,[c],1.18156161799966,1.55593678511632,0.814966034962144,3607,1872,1735,,,,,
Number of evening visits to pub/bar in last month,Once a week or more often,3.77807549498974,4.64587720583102,3.22413237871718,2.86891721034079,3.44078801221496,2.50238598421243,1.11127184813994,1.49294984093275,0.866739227951497,3.66877257555409,4.64638965032346,3.05142982799451,[c],[c],[c],0.236651228694757,0.241111219736741,0.233820349988585,1641,648,993,,,,,
Number of visits to a nightclub in last month,,4.63277550884261,6.48374619658664,2.76881281544735,3.14457693333661,4.61610213869866,1.66399134580308,1.87606703539672,2.41052394162909,1.33944294668642,4.30412608306518,5.99338718610095,2.61104620723465,0.231497696205,0.410179418890404,0.0514715918400628,0.835014581074081,1.24609685339038,0.419911733915497,10933,5719,5214,,,,,
Number of visits to a nightclub in last month,1 to 3 times a month,8.02548389387153,8.51686781316961,7.63583206984534,5.63898946315131,5.03816928802398,6.11872796005132,2.13465995115879,3.16852940584192,1.2924605647296,6.92975836532141,6.29666817605765,7.45879322870556,1.70289294075121,3.63193221535699,[c],1.837077892504,1.02532892605106,2.48627862790493,399,200,199,,,,,
Number of visits to a nightclub in last month,4 or more times a month,5.23829813264225,[c],[c],[c],[c],[c],3.8821693450384,[c],[c],4.73299074579536,[c],[c],[c],[c],[c],[c],[c],[c],57,32,25,,,,,
