Characteristic groups,Characteristics,"Any domestic abuse
All ","Any domestic abuse
Women","Any domestic abuse
Men","Any partner abuse
All ","Any partner abuse
Women","Any partner abuse
Men","Any family abuse
All ","Any family abuse
Women","Any family abuse
Men","Domestic abuse (non-sexual)
All ","Domestic abuse (non-sexual)
Women","Domestic abuse (non-sexual)
Men","Domestic sexual assault
All 
[note 6]","Domestic sexual assault
Women
[note 6]","Domestic sexual assault
Men
[note 6]","Domestic stalking
All ","Domestic stalking
Women","Domestic stalking
Men","Unweighted base
Number of people aged 16 and over
[note 7]","Unweighted base
Number of Women
[note 7]","Unweighted base
Number of Men
[note 7]"
Total household income,No income stated or not enough information provided,3.84261746249727,[c],[c],3.02029873683925,[c],[c],2.09971646798244,[c],[c],3.0552332757521,[c],[c],[c],[c],[c],[c],[c],[c],84,35,49
Tenure,Owners,3.65225665030988,5.07389321244824,2.24392822586744,2.48092371761146,3.34514755970826,1.62903414467924,1.3729807435574,1.93675513873724,0.813455937064393,3.31756777072075,4.65403820562154,2.00395660986227,0.214963678759885,0.410114529241658,[c],0.581464279130423,0.706648059498352,0.456715712820948,7482,3845,3637
Tenure,Social renters,9.06799859553348,11.8069083147696,5.32269416735852,6.76539824976731,9.32199366021907,3.24823052028824,3.47817635088457,4.15138667006279,2.55931076022072,8.66250107327125,10.94471219973,5.45422887215543,0.517149246172584,0.842446584866562,[c],1.86516721327829,2.66165721248299,0.778614675735423,1648,985,663
Tenure,Private renters,6.03717710278109,8.13268911002362,4.2332827486641,3.70052458348526,5.54363522826377,2.10700223861891,2.68070939075768,3.19096839254926,2.247734606858,5.62048243276323,7.2683276062068,4.20153521760726,0.476941363330844,0.864198057033242,[c],1.25156798710159,2.00105559630849,0.611744598957807,2189,1080,1109
Accommodation type,Houses,4.58555480482979,6.2472848416933,2.88991380266084,3.06962119420399,4.30603982587631,1.81159225152565,1.84105246516435,2.37254307233698,1.2996106641973,4.28512508525073,5.84048795936835,2.70470780787438,0.268415976952779,0.515157741920533,[c],0.798515615520061,1.05264633080693,0.538330932966107,9626,5088,4538
Accommodation type,Detached,3.42540387502109,4.8998188344256,1.96294543656604,2.1673331964393,3.11521419624563,1.23231217301896,1.55025689405751,2.2707555677104,0.831468643996043,3.26661203072909,4.64359629648577,1.91654970797888,0.175454736893121,0.352792713512657,[c],0.497512092207459,0.817758741613,0.180386160827361,2688,1374,1314
Accommodation type,Semi-detached,4.67546662310443,6.51134162622971,2.86514443058066,3.37926953265046,4.86105444212953,1.92787175642441,1.66829798309666,2.23896759870076,1.10669491734283,4.30327606113797,5.9665661247466,2.65719935370251,0.445708510820596,0.868253737266973,[c],1.00723597940795,1.27162326102814,0.744482433769873,3578,1867,1711
Accommodation type,Terraced,5.5166783468437,7.11127946028182,3.78283130576409,3.5169695809879,4.71561471724227,2.2097116681332,2.29118742992677,2.60160069698027,1.95638433233766,5.17412478901794,6.72412145825452,3.49939882856396,0.152471343963834,0.274535360660329,[c],0.831206053380502,1.01716672786466,0.628572035773315,3360,1847,1513
Accommodation type,Flats/maisonettes,6.09038810279796,8.8208490880081,3.74700306971071,4.33895761616795,6.57454832494242,2.39438561547485,2.25679393486097,3.13285735639459,1.50895377084049,5.34412021535836,7.22059042183921,3.71574738746107,0.537694497717121,0.831183000846418,0.285839698387531,1.30468988019298,2.31183795268673,0.44160991284203,1719,836,883
Accommodation type,Other,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],15,10,5
Output area classification,Rural residents,4.1860041715203,5.80504478158394,2.37233144872416,2.69107379473874,4.13988517652408,1.07393159791153,1.71570646825531,1.96748219295833,1.43432137890613,4.11006912535283,5.64860130238671,2.41993312537717,[c],[c],[c],0.623056227575032,1.18281355506998,[c],1415,753,662
Output area classification,Cosmopolitans,4.85982562760914,5.14058440710571,4.6449760104298,2.18988285893555,2.93805795818313,1.58526246008304,2.61396573907615,2.09090183841991,3.01530265421317,3.73515884346613,2.97135490215398,4.35671658586037,[c],[c],[c],1.13633346934084,1.94603911234224,[c],492,227,265
Output area classification,Ethnicity central,5.08727567849938,7.92980603156688,2.29320539267976,3.05709460369854,4.69355139141218,1.42970290517399,2.21163219703164,3.68296787828348,0.772463933342876,4.21799209322586,6.20973187160168,2.28179531784543,[c],[c],[c],1.21656816141147,1.99944343303791,[c],639,331,308
Output area classification,Multicultural metropolitans,3.83175073271407,4.93585117780719,2.79689067769118,2.97251470191517,3.52941426346883,2.44837125799686,1.19185963286349,1.56694121480459,0.841242673269017,3.65015693237562,4.82798795579703,2.54188669775755,0.145237365715084,[c],[c],0.583133963046361,0.678892279708952,0.493301108028309,1472,755,717
Output area classification,Urbanites,4.37489258695972,5.63545882894983,3.12647892787091,2.65456421071893,3.28917818192108,2.03249401892051,1.96999571230269,2.50338961451453,1.44140128123851,3.83362279668969,4.81686069910398,2.8513971141368,0.301183484261156,0.605733667855593,[c],0.695546397281845,0.82308805788492,0.568692680425458,2111,1101,1010
Output area classification,Suburbanites,2.8628563668,4.40926061842091,1.47953358722386,2.01223300582464,3.0764571267355,1.07060122757868,1.07970969681109,1.79545368700959,0.43743224492347,2.57582208757291,4.10731903026472,1.22094173573826,[c],[c],[c],0.587551197211849,0.876477784159061,0.327987523635178,2155,1067,1088
Output area classification,Constrained city dwellers,8.68111581419737,11.4845138565662,5.38655342816528,6.9255039332762,8.9917247648676,4.52147348943195,3.06042097769736,4.4854376021942,1.41678101216582,7.98621244373238,10.4308605459655,5.135144175703,1.33928082808691,2.00509674878801,0.553099524530115,2.55938127263721,2.93169576017954,2.1172846813417,902,500,402
Output area classification,Hard-pressed living,7.192207542586,9.69498128667284,4.3674434443998,5.01546978673507,7.4460144190602,2.25141468802353,2.76673580943645,3.1915185026038,2.28989866452735,7.1330754299697,9.51214448882739,4.46625386621993,0.507307598022092,0.926655463446698,[c],1.05213904454702,1.46122191357973,0.583839155092506,2208,1218,990
Area type,Urban,4.75354153724601,6.41173829178611,3.13771257829068,3.239380398989,4.52195248935779,1.98735261474043,1.87597152381757,2.37308810199653,1.39286999978025,4.28325672185612,5.66510763050497,2.93550956604062,0.297692913423551,0.532352658771377,0.0686046382622926,0.924158669149804,1.22507541888219,0.629577957785312,9097,4722,4375
Area type,Rural,4.94461416995639,7.22357777643896,2.44752299679806,3.27493534873855,4.92220116273282,1.48706441990038,2.00841244848108,2.89074775001066,1.04138805219763,5.01273911131103,7.38183566001954,2.45276351275822,0.345190626797596,0.660773010383091,[c],0.690758059059511,1.27033843979226,[c],2297,1230,1067
Level of physical disorder,High,7.04704961767034,7.99933544913402,6.09180137589226,4.77761942471324,4.78895846579107,4.7663618798046,2.59681668336029,3.29241088077919,1.89580806251843,6.83288362844136,7.80452154086722,5.91090300684981,0.447246482666152,[c],0.366164358784164,1.18772807673451,0.741018455949037,1.63570036330836,689,364,325
Level of physical disorder,Not high,4.65767856441648,6.49558937123977,2.8254674459443,3.15728027656036,4.60058149641992,1.71846936344056,1.85868462158843,2.42574180943335,1.29483153948222,4.28777845926665,5.92040811988987,2.65813583613963,0.298928769287826,0.561715401176348,[c],0.856927378271018,1.25869676278713,0.455250754003726,10682,5575,5107
English Indices of Deprivation (Employment),20% most deprived Output Areas,6.28037626816973,8.91864308031681,3.55711727530403,4.49568826704066,6.34062805325472,2.58015042076712,2.4881329084535,3.65742388741406,1.28786214471525,6.04705582278133,8.54295730844949,3.45639058723343,0.684875612122976,1.12595449161907,0.225776852812746,1.08559296397851,1.24967791844772,0.914217217129368,2484,1343,1141
English Indices of Deprivation (Employment),Other Output Areas,4.56123709229683,6.29395010569738,2.84547070018015,3.09708728130977,4.33348849842151,1.87461678950691,1.76688299404302,2.34354736301208,1.19733355950255,4.1474908125804,5.57300214934773,2.74452138200307,0.222995302308145,0.416374453920457,[c],0.848552539356174,1.26054218371615,0.439961198845095,6265,3235,3030
English Indices of Deprivation (Employment),20% least deprived Output Areas,3.58452327318039,4.37171589306018,2.83913685033393,2.22423998391146,3.20067378757238,1.30354057176043,1.64791305073056,1.61402444178989,1.68000683504423,3.1423301294944,3.94046705610943,2.38394899139903,0.246739583788115,0.505355312244763,[c],0.820850784645176,1.16257345661154,0.497862336142868,1913,972,941
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,5.73304270108126,6.3884481587929,4.87953193427894,4.99672892598259,5.08672374617417,4.87953193427894,1.43118650258452,2.38432164437879,[c],5.79878927405748,6.22225500633098,5.22481127413267,[c],[c],[c],0.885447334957657,[c],[c],159,94,65
Welsh Indices of Deprivation (Employment),Other Output Areas,7.1450142420232,10.4001297433022,3.33533222471457,5.08854644337141,7.63054123299938,2.10118760263334,2.0744044418093,2.8077710961517,1.21159205839375,7.26936115010985,10.637673836346,3.40382705450375,0.424295186428089,0.786070279285109,[c],0.598394309656402,0.943304216240511,[c],441,242,199
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,7.90658097573823,11.1866828697704,[c],3.4724601427415,5.86646675880555,[c],4.41896848185831,5.27080678683158,[c],7.89732100999729,11.0379477714796,[c],[c],[c],[c],[c],[c],[c],132,66,66
English region and Wales,North East,4.65461676789739,7.0882385866859,2.11838930433146,3.25574407107147,4.83458054109958,1.64162139034169,1.59196408962438,2.58429157556516,0.552071488431703,4.03894289638059,5.79222735903399,2.18383535136311,[c],[c],[c],1.29143057363454,2.52255956166386,[c],622,343,279
English region and Wales,North West,5.20242806478461,7.40021283311135,3.09574820978961,3.99520980155561,5.80845032826757,2.25222025521583,1.53185649335218,2.07231977455905,1.01577168540602,4.8855099920683,6.7244129767915,3.11188522380769,0.27322453446955,0.55706912163874,[c],0.878920930265008,1.23986488826021,0.529958059277596,1604,811,793
English region and Wales,Yorkshire and the Humber,5.04206014883483,7.67715846236753,2.19579563705503,3.52461928125519,5.54102352475225,1.31125133824403,1.76373446314411,2.56308601184996,0.901948741642907,4.6733574142197,6.85949590638604,2.28819216841837,0.462514922908016,0.834060800944387,[c],0.85115434188456,1.57326390652664,[c],1155,635,520
English region and Wales,East Midlands,4.33153328576254,6.67696185742931,1.93770888050261,3.08583001314946,5.16725903771194,0.959661823170479,1.49672619863122,1.86298879924959,1.12300463918269,3.99195218820984,6.05797901818608,1.91131726466072,[c],[c],[c],0.738668916973502,1.40753846787536,[c],1078,560,518
English region and Wales,West Midlands,4.56709005630094,5.98557457785391,3.07541240893938,3.20602555247278,4.11733660583175,2.26478768695487,1.81328115988311,2.23412927748721,1.36869544755893,4.57040091363654,5.92336796462318,3.16996879376548,0.125974557273861,0.245536737836726,[c],0.613840434739529,0.641748629567456,0.584623686035111,1083,588,495
English region and Wales,East,3.61133427113951,4.56879655685546,2.64946740968335,2.23359537508311,3.23653249476705,1.24314741156509,1.58806924197822,1.80896741818941,1.36634242534594,3.36435201258149,4.53107615768954,2.20058452308327,[c],[c],[c],0.900161680261652,0.860141675966656,0.940452430192564,1191,619,572
English region and Wales,London,4.09716467457295,5.41571312753285,2.81458246419754,2.30134494084094,3.0049215299516,1.60563058269221,1.99069557069144,2.61821712033412,1.38371044140108,3.15957917156428,3.79310599133095,2.54703892592526,0.49397732338342,0.94311430330646,[c],0.727872866553174,1.19655161228053,[c],1353,693,660
English region and Wales,South East,5.04240942032274,6.13331795694911,4.10086329627902,3.45570261524513,4.28795804217786,2.74330209398577,2.04735955155114,2.82162062834281,1.38130133510598,4.63673012986947,5.74314256674658,3.66907782725953,0.221837394808855,0.244451064429974,[c],1.04258796543995,1.1794346508655,0.923927557680826,1450,720,730
English region and Wales,South West,5.20230278548537,7.06797562892789,3.22466948411536,3.47680016243519,4.91035778704785,1.95108782822165,2.69010444607547,3.09381261808602,2.26585203248325,5.07539084373855,7.14159646792526,2.93525816814829,0.442661614261429,0.79229498651064,[c],1.0589624162686,1.23023075360641,0.877201399511623,1126,581,545
English region and Wales,Wales,7.07687241074912,9.87264091926316,3.80751912977048,4.7280993553123,6.83365100186133,2.25527669848613,2.46799627477115,3.23768323140251,1.56431934001457,7.17134735559181,9.96588320790692,3.90678567832627,0.26404369253447,0.489842335754965,[c],0.764447040868553,1.16297079465069,0.298307645164233,732,402,330
