Type of abuse [note 4],Sex,"Apr 2004 to
Mar 2005 
[note 5]","Apr 2005 to
Mar 2006","Apr 2006 to
Mar 2007","Apr 2007 to 
Mar 2008 
[note 6]","Apr 2008 to
Mar 2009","Apr 2009 to
Mar 2010","Apr 2010 to 
Mar 2011 
[note 7]","Apr 2011 to 
Mar 2012 
[note 7]","Apr 2012 to 
Mar 2013 
[note 7]","Apr 2013 to
Mar 2014","Apr 2014 to
Mar 2015","Apr 2015 to
Mar 2016","Apr 2016 to
Mar 2017","Apr 2017 to 
Mar 2018 
[note 5][note 8]","Apr 2018 to 
Mar 2019 
[note 8]","Apr 2019 to 
Mar 2020 
[note 9]","Oct 2021 to 
Mar 2022
[note 10]","Apr 2022 to 
Mar 2023
[note 11]","Apr 2023 to 
Mar 2024
[note 12]",Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 statistically significant difference,,,,,,,,,,,
Threats or force,Women,5.604157963269262,6.108059145189841,5.908326457471899,4.61994991949354,4.45860265683536,4.868333313041686,4.172799708627895,4.520087844773491,3.7442693015367623,3.6065785075636585,3.5866918511309316,3.047741361147224,2.7924847313533046,3.0137314306227196,2.7198523606895333,2.8086754558446643,2.13114398090813,1.82167242726586,1.79397719010995,[ns],,,,,,,,,,,
Threats or force,Men,2.5003947507419393,2.2352879572744477,2.630747690729015,2.5081103894237042,1.4218558817460076,1.321710261184276,1.464510234540961,2.120760705354186,1.3779726817695124,1.5161016211751035,1.4994154788921428,1.4037280719292917,1.249821742596401,1.439371204593355,1.524992878650237,1.2027191047304704,0.848583036395455,1.10324969256733,0.493911799640202,[s],,,,,,,,,,,
Threats,Women,4.183591184719106,4.771790191188417,4.6524044565514995,3.972830448563644,3.3439634222330987,4.078203205535926,3.2815491310360336,3.3998839071292073,3.0077485940514297,2.8144319142497727,2.865624602127769,2.310985947733376,2.171177475195244,2.3265602815472985,2.201236226812955,2.203765899179056,1.82993484824134,1.51371787386981,1.36499853824173,[ns],,,,,,,,,,,
Threats,Men,1.7364637176136661,1.1543279308648682,1.3532051071855153,1.5670774439240542,1.051987877125964,1.0937710435905235,0.7140947556951142,1.1608402144815364,0.5963638193309042,0.6298348367418267,0.8145140861619086,0.813897860813732,0.6163274937568425,0.7613851354470808,0.6986405249333726,0.6243420467685122,0.59643428491827,0.583099511179681,0.156824777245606,[s],,,,,,,,,,,
Force,Women,3.5634181351962,3.889816990341802,3.4808633995224074,2.9385539302063552,2.851179061413502,2.9104661152586537,2.7919877315824997,2.980770449063458,2.064218169750693,2.031989783834395,1.8551133023785875,1.709937407239519,1.5447026462363063,1.6806842213750994,1.554991113947459,1.5430645746367253,1.00080464972377,0.791552521313551,0.947143246040522,[ns],,,,,,,,,,,
Force,Men,1.873290907620836,1.630450671970434,1.9571231982035306,1.8183685436058457,1.0269430640970731,0.9171745451477602,1.1348286524417155,1.4247595864620952,1.0799441511872114,1.1698407122112378,0.9940989188742513,0.9384343698987929,0.9134113982513351,1.210715487717069,1.2538864891730888,0.9706111206179051,0.369639915048449,0.750400570554241,0.423527256298028,[ns],,,,,,,,,,,
Family abuse - non-sexual,Women,3.771962977892943,3.7655555780747743,3.865181937759148,2.580125868512119,2.84847097344626,2.773128520795045,2.83857077902249,2.6679994057325085,2.7123177537881107,2.1841137394377963,2.166725413271387,1.9086764895543105,1.7520931031195988,1.9042745867791777,2.472148365961334,2.2827268992684773,3.31827135935319,2.24002867007118,2.4762222694428,[ns],,,,,,,,,,,
Family abuse - non-sexual,Men,2.28710115948727,2.1447096692657093,2.2963941742722858,1.538825348084095,1.8941750959859995,1.6153116006640498,1.7573654977111262,1.7085888777963978,1.7567031893722735,1.7307615051640213,1.4210923377003393,1.8107503137440566,1.4557262808970455,1.7298755407262927,1.4128096283167983,1.409497412488896,0.996239761237291,1.55251877488792,1.29313701410996,[ns],,,,,,,,,,,
"Non-physical abuse (emotional, financial)",Women,2.282936638649019,2.31242377194614,2.3961112007033516,1.5781587900377962,1.7326859875352674,1.825218719957625,1.6464155205434565,1.6721759558962017,1.7221464737589594,1.3582859751536904,1.3672093229909486,1.4075004003082539,1.195682794647462,1.443130556723629,1.6537002626355455,1.5788154031045947,2.78022179526336,1.76141105745502,1.8389910827428,[ns],,,,,,,,,,,
"Non-physical abuse (emotional, financial)",Men,1.440465725989701,1.3624010796105839,1.5580179689122464,1.0820411417403228,1.1387327891685035,1.2146149828916686,1.1178258702298876,0.9041648378351858,0.8390561895877386,0.9395072012248143,0.9238418575802828,1.2748151246207104,0.9170207103249858,1.2248237257253725,0.7423397360003257,0.9096619778551991,0.834689322809333,1.03292707417349,0.686588441476755,[ns],,,,,,,,,,,
Threats or force,Women,2.30738816488124,2.566420928384435,2.5192090684294826,1.6589604256727974,1.906010345166302,1.657884830120982,1.7334117050575804,1.5878296888422694,1.6080105003407508,1.2531193849563032,1.3769055228491274,1.0289666020334727,0.9760089966581068,1.0465408043292233,1.4282423369984116,1.1782213873663832,1.68577855939041,0.994850163522339,1.08555877701722,[ns],,,,,,,,,,,
Threats or force,Men,1.174424469006642,1.1281883945652011,1.0780292806199772,0.6650245454808756,1.139260153501196,0.6981418992134976,0.9565674361635337,1.0456136809806469,1.0555777595992366,0.9843104165214992,0.6809789696304895,0.871101202872573,0.7570894109176411,0.694863108982603,0.9064533688806657,0.741717892817636,0.502721228202764,0.731864997129577,0.733431062487418,[ns],,,,,,,,,,,
Threats,Women,1.4350419939520416,1.7315433678232686,1.5520544904411815,0.9741349336480252,1.113384180145456,1.1289922736747144,1.249521153784315,1.1239111400088053,1.2023823594016252,0.9888911209714357,1.0309821973788695,0.8739005288607846,0.7955394349844657,0.845166970418431,1.0357140287517577,0.9482066644839205,1.43366467325329,0.817434676305464,0.875535413879867,[ns],,,,,,,,,,,
Threats,Men,1.0141349687537553,0.800905257437511,0.8946184113259474,0.5761832055167184,0.8437411295857239,0.8870383086234275,0.6973591895553057,0.7666347451889596,0.706735441689195,0.5849243368037782,0.4738679618757599,0.7097101644386109,0.5671479091590769,0.4325648048981503,0.48568234165226143,0.5475431221024165,0.496144923193101,0.634253849413853,0.523291279526637,[ns],,,,,,,,,,,
Force,Women,1.7427299593638708,1.8538758264376156,1.8715587383462786,1.3325978325164667,1.5269553376479774,1.1641947975145632,1.2204596561391594,0.9151021444850902,0.8260895235460153,0.6784479668273743,0.778432987951577,0.5280467162250653,0.4600475088933598,0.5916057986219996,0.7429608675061532,0.5131129023792074,1.06261597712099,0.56081068825682,0.341532998324091,[ns],,,,,,,,,,,
Force,Men,0.6212102423236774,0.643549950831067,0.6215668883276838,0.3915359015239533,0.6626232902139287,0.33916536592558566,0.5356691476300898,0.5064077395339489,0.7544154518493791,0.5864201543394345,0.3522383047212559,0.3536351507244802,0.336242277544689,0.4206739264855886,0.5967854652649696,0.38059451226920615,0.336208101273903,0.263805656145445,0.240221407528334,[ns],,,,,,,,,,,
Any sexual assault (including attempts) by a partner,Women,0.48282488866132744,0.6255429337042192,0.5487955653666694,0.5107272828684367,0.36394489247892586,0.39801996343907514,0.5624311617348018,0.5303549414807953,0.4338800523292938,0.35827754347373436,0.4719631680398239,0.4994100733694562,0.4231242755473736,0.3623950509756584,0.7156394256004414,0.6671520201276346,0.883681148012075,0.552944534163325,0.555456097536455,[ns],,,,,,,,,,,
Any sexual assault (including attempts) by a partner,Men,0.2474952131163186,0,0.15386813654106674,0.18938432870542823,0.16920566943693638,0.1764962207975835,0.13924353397586794,0.0706078286436345,0.1221795604460265,0.08839592554563092,0.05516159999537294,0.11879519924403563,0.07547836280193476,0.07818157098891197,0.022799134377287946,0.08939492487472561,[c],0.134400278880051,0.0426011823330922,[ns],,,,,,,,,,,
Sexual assault by rape or penetration (including attempts) by a partner,Women,0.2634375632684015,0.27808086248169583,0.31030737217729853,0.25377713904301535,0.22383183969436657,0.20732881337346912,0.39597791623640044,0.34426727980975264,0.3204584650171746,0.24131770299736427,0.26632054598458677,0.2974140031947678,0.2957512443525279,0.22442263311715663,0.3071479617474434,0.4479706950289823,0.344201924216872,0.318012130055336,0.238403572395551,[ns],,,,,,,,,,,
Sexual assault by rape or penetration (including attempts) by a partner,Men,0.06844725334659031,0,0.026916887877874,0.0524311362372601,0.04371894841548782,0.004226507353992877,0.026399259290766405,0.0429125213149359,0.04933871797422909,0.00505107630473959,0.010183246577815556,0.04859154512332738,0.02970155592356127,0.012587457854409189,0,0.012340221791323016,[c],[c],[c],[c],,,,,,,,,,,
Indecent exposure or unwanted sexual touching by a partner,Women,0.46362972974257516,0.6214529325641317,0.5411480589081344,0.48859941936082596,0.26864573515890555,0.4400372725020354,0.44570616671011865,0.402680877040676,0.24148147274783585,0.21332649351962144,0.3339368703317226,0.37816581310021297,0.2566273183447821,0.2594601655545305,0.518446833404983,0.41860058918120546,0.743957148041272,0.435524215105456,0.429191687897578,[ns],,,,,,,,,,,
Indecent exposure or unwanted sexual touching by a partner,Men,0.221249273355011,0,0.13402805754057034,0.13726788356119726,0.17725377075303064,0.19592974689949025,0.1545054539121381,0,0.12199499891198817,0.08318787501018299,0.04490682969436578,0.06992098175093077,0.05422610554386193,0.06532348488354389,0.022725792669900748,0.07688585959602795,[c],0.0781576902352669,0.042298895719864,[ns],,,,,,,,,,,
Indecent exposure by a partner,Women,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.05885785490431566,0.06355096698156319,0.03366590170257642,[c],[c],0.196809519220034,[z],,,,,,,,,,,
Indecent exposure by a partner,Men,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.025437919593273517,0.012543416257601494,0.009225448286662817,[c],[c],[c],[c],,,,,,,,,,,
Unwanted sexual touching by a partner,Women,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.2580936632527475,0.5074763183658726,0.3945236614906974,0.747298271548414,0.433442714478174,0.275282296106558,[ns],,,,,,,,,,,
Unwanted sexual touching by a partner,Men,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.040265697923931164,0.010203512031670858,0.0676816494931115,[c],0.0789070325995255,0.0428822290859981,[ns],,,,,,,,,,,
Any sexual assault (including attempts) by a family member,Women,0.1286138982885387,0.09293593502128027,0.11086351190906826,0.12960490041298056,0.06406620666643999,0.09951148387779418,0.1539025796736463,0.08490057967611203,0.08061428310204953,0.0727089480579746,0.055700827718932706,0.03627569634841888,0.04358957908189831,0.1342386449213812,0.0941867291999993,0.06804344733870903,[c],0.071282811827281,0.169971237293323,[ns],,,,,,,,,,,
Any sexual assault (including attempts) by a family member,Men,0.0065695105797600115,0.027024170187631993,0.005432330456371047,0.007160449205371068,0.008223067494223085,0,0.04644212643550273,0,0.012645234883040129,0.039828531486070726,0.010197997450581347,0.005463577408674629,0.03612048237459033,0.050043111529839736,0,0.027643215928165533,[c],[c],[c],[c],,,,,,,,,,,
Sexual assault by rape or penetration (including attempts) by a family member,Women,0.02746083380841105,0.02346983732037563,0.03167109015615969,0.0067165666342055685,0,0.0257586646006817,0.05827505509182064,0.03157358848261452,0.05259287578090477,0.035810621685541125,0.016698836856079993,0.013400823325689962,0.019466673492425087,0.08722381032281994,0.06162007264973488,0.015283102874588901,[c],[c],[c],[c],,,,,,,,,,,
Sexual assault by rape or penetration (including attempts) by a family member,Men,0,0,0,0.007077184878044589,0.008167881953063354,0,0.04590954670290556,0,0,0.00501953607903222,0.010183952938817336,0.005452236891387407,0.018769994601151363,0.012701731888619292,0,0.00634451212297154,[c],[c],[c],[c],,,, , , , , ,, ,
Indecent exposure or unwanted sexual touching by a family member,Women,0.05228597228779967,0.04363256290130421,0.061291704940877656,0.07816050868880801,0.0386940622261531,0.034329551393181244,0.08606835713295152,0.01949536762219052,0.027656401688920074,0.03924089058928313,0.038783596238294325,0.022669392661447307,0.023910956631604235,0.06070975395049039,0.07661645049967884,0.06278076122875244,[c],0.0536990953299098,[c],[z],,,,,,,,,,,
Indecent exposure or unwanted sexual touching by a family member,Men,0.006536233924493849,0.026905575200905408,0.005415289702161327,0.007120770669882877,0.008190829956792522,0,0,0,0.012618755505513847,0.034752961835763305,0,0,0.02589992410828546,0.037160275346807645,0,0.021232504289459955,[c],[c],[c],[c],,,,,,,,,,,
Indecent exposure by a family member,Women,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.03786219796387601,0.009578518065870466,0.03043230164609253,[c],[c],[c],[c],,,,,,,,,,,
Indecent exposure by a family member,Men,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.02594153063226884,0,0.009225448286662817,[c],[c],[c],[c],,,,,,,,,,,
Unwanted sexual touching by a family member,Women,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.037601589535883044,0.07745861914161553,0.03277884352958191,[c],0.0399842998660653,[c],[z],,,,,,,,,,,
Unwanted sexual touching by a family member,Men,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0.011113987650395271,0,0.02118177030998215,[c],[c],[c],[c],,,,,,,,,,,
Stalking by a partner or ex-partner,Women,1.1804055592919838,1.4255795917877676,1.3627513533462998,[x],1.0378400441767994,1.0693103843225473,1.2691460193565305,1.0941469207189733,1.144135191856587,1.5857925160993764,1.5551206345972843,1.2848466556626308,1.32279797910538,1.4007702136740203,1.5868831784630997,1.1740059023474239,1.16151896251621,0.774220548168403,1.21681063805132,[ns],,,,,,,,,,,
Stalking by a partner or ex-partner,Men,1.0866792872566846,1.0334385823900671,0.8602606868168333,[x],0.6752726191548747,0.8085447581882417,1.2447263094080039,0.8456776049258884,0.4445186203591341,0.45678310718478105,0.4118059508546094,0.4610525161279594,0.5327046431888435,0.4808867053881815,0.583868539077027,0.5735315169171241,0.765754274445318,0.466526980195344,0.479995844276925,[ns],,,,,,,,,,,
Stalking by a family member,Women,0.46195903175329955,0.6630794160738592,0.46300156188971264,[x],0.43448476771642147,0.4595620125199489,0.5320464899704966,0.7685388231703523,0.6856950657341614,0.4860842630154533,0.5440069755339062,0.49795775077031185,0.4519342971360979,0.6290287851948808,0.48634569546403206,0.5322360859005457,0.44417148588392,0.54822227356145,0.460564268231253,[ns],,,,,,,,,,,
Stalking by a family member,Men,0.26526101656202794,0.35141750017043,0.4698317749853901,[x],0.1828026040627334,0.3068590601982465,0.3192236001534351,0.34994952768766185,0.191122959074211,0.1908879437752055,0.21871419854689145,0.2313609952134809,0.20051864729372776,0.3679144534819776,0.14115990066357192,0.2627972101382821,0.510757733368489,0.198772393296136,0.138524006269433,[ns],,,,,,,,,,,
Unweighted base - number of people aged 16 to 59 years [note 13],Women,12400,13282,12754,12991,13786,11734,5929,5830,5184,11178,10363,10819,11083,5399,5420,9879,1639,5477,3765,[z],,,,,,,,,,,
Unweighted base - number of people aged 16 to 59 years [note 13],Men,10228,11028,11008,11104,11890,9896,4969,5072,4284,9466,8524,8950,9495,4647,4325,8190,1384,4781,3302,[z],,,,,,,,,,,
